,T0-S0,T0-S1,T1-S0,T1-S1,T2-S0,T2-S1,T3-S0,T3-S1,T4-S0,T4-S1,T5-S0,T5-S1,T6-S0,T6-S1,T7-S0,T7-S1,T8-S0,T8-S1,T9-S0,T9-S1,T10-S0,T10-S1,T11-S0,T11-S1,T12-S0,T12-S1,T13-S0,T13-S1,T14-S0,T14-S1,T15-S0,T15-S1,T16-S0,T16-S1,T17-S0,T17-S1,T18-S0,T18-S1,T19-S0,T19-S1,T20-S0,T20-S1,T21-S0,T21-S1,T22-S0,T22-S1,T23-S0,T23-S1,T24-S0,T24-S1,T25-S0,T25-S1,T26-S0,T26-S1,T27-S0,T27-S1,T28-S0,T28-S1,T29-S0,T29-S1
,amaz,sad,strong,wast,worth,onli,readi,worst,same,littl,happi,inferior,first,new,last,junk,perfect,due,origin,own,worth,inferior,elus,onli,origin,human,best,origin,angri,littl,easi,poor,more,better,wonder,first,awesom,origin,fantast,upset,worth,interest,few,serial,enjoi,entertain,old,wast,new,entir,enjoi,special,wonder,horribl,fast,dumb,black,real,sure,few
,old,first,creativ,origin,special,few,other,other,few,such,awesom,troubl,real,true,young,annoi,worth,better,own,better,true,upset,old,funni,long,averag,special,feder,emot,onli,perfect,more,few,old,love,bete,perfect,blade,danni,terribl,better,old,last,onli,real,worst,more,toni,fortun,new,abl,more,unburi,worst,least,wrong,enjoi,old,few,big
,sexi,quot,most,moto,impress,origin,earlier,hate,true,interest,fun,problem,fun,sound,fast,hate,awesom,hate,love,differ,perfect,open,fantast,more,perfect,heavi,classic,high,outstand,real,recommend,last,hilari,annoi,amaz,littl,alien,hilari,happi,troubl,recommend,hilari,wonder,littl,worth,more,amaz,wors,wonder,black,easi,frank,better,other,happi,bore,real,most,whole,funni
,littl,same,rare,sexi,happi,worthi,inexpens,inferior,interest,better,classic,special,favorit,corrupt,funni,mess,least,inferior,littl,whole,fantast,best,fun,better,old,hard,major,new,numer,interest,wonder,young,better,last,happi,better,ballet,annoi,new,problem,awesom,wrong,own,best,late,first,better,free,english,murphi,dirti,regret,recommend,terribl,best,stupid,white,better,true,problem
,new,mani,total,real,origin,real,perfect,jayn,such,onli,romant,aw,enjoy,first,high,bore,happi,dominiqu,excel,best,rees,less,perfect,differ,recommend,dull,sever,mani,immort,most,nice,scari,funni,miss,wild,mess,true,wast,abl,regret,amaz,real,beauti,next,romant,nasti,new,big,mani,coloni,first,complet,awesom,wrong,most,accur,wonder,true,own,whole
,erot,such,gold,hate,public,regret,classic,upset,enjoi,black,perfect,mad,worth,interest,nice,classic,funni,mess,long,onli,impress,worthless,worth,new,real,slow,recommend,best,top,hard,third,jarvi,real,neg,worth,real,dark,wrong,classic,neg,poignant,whole,big,interest,first,problem,true,disappoint,martial,terribl,happi,annoi,most,real,excel,jip,favorit,next,excel,most
,funni,old,inaccur,upset,first,differ,first,interest,last,least,real,new,long,real,hard,problem,impress,ruhengeri,privat,disappoint,excel,hate,impress,unfunni,best,other,young,onli,phenomen,silli,more,same,fun,modern,awesom,big,other,problem,more,real,deschanel,more,interest,new,old,neg,much,problem,white,few,old,wast,real,best,young,sad,differ,special,big,sure
,clean,troubl,meticul,much,hollywood,old,differ,nasti,littl,young,better,annoi,old,silent,long,last,other,complain,few,origin,more,mess,happi,worst,young,mani,fun,neg,kb,neg,larger,onli,enjoi,real,long,angri,origin,other,better,more,other,cute,enjoi,funni,tough,onli,littl,stupid,favorit,final,best,hot,first,neg,littl,run,fun,young,special,nasti
,such,nasti,suffici,same,last,overal,real,differ,excel,hard,first,inner,interest,daniel,big,big,few,most,better,true,sever,complaint,jacki,first,fantast,origin,nice,gore,mani,upset,rid,nasti,other,more,old,pierr,differ,deadli,hard,mani,power,rid,onli,last,jame,mani,special,import,immort,farewel,recommend,mani,new,stupid,recommend,mean,same,jeann,interest,poor
,awesom,virtual,accur,mess,s,mortal,more,troubl,full,last,hard,mess,perfect,least,easi,troubl,due,junk,late,least,shane,complain,first,hard,hard,better,top,most,first,sad,young,decent,glad,free,excel,main,funni,jurass,glad,new,sympathet,onli,human,differ,entertain,climat,own,more,special,funni,more,nasti,worth,dumb,free,disappoint,most,same,differ,best
