,T0-S0,T0-S1,T1-S0,T1-S1,T2-S0,T2-S1,T3-S0,T3-S1,T4-S0,T4-S1,T5-S0,T5-S1,T6-S0,T6-S1,T7-S0,T7-S1,T8-S0,T8-S1,T9-S0,T9-S1,T10-S0,T10-S1,T11-S0,T11-S1,T12-S0,T12-S1,T13-S0,T13-S1,T14-S0,T14-S1,T15-S0,T15-S1,T16-S0,T16-S1,T17-S0,T17-S1,T18-S0,T18-S1,T19-S0,T19-S1,T20-S0,T20-S1,T21-S0,T21-S1,T22-S0,T22-S1,T23-S0,T23-S1,T24-S0,T24-S1,T25-S0,T25-S1,T26-S0,T26-S1,T27-S0,T27-S1,T28-S0,T28-S1,T29-S0,T29-S1
,right,hapless,femal,beauti,power,telekinet,mont,quot,ethic,person,inrich,arkansa,hot,crafti,cheesi,cheap,modern,mute,histor,mysteri,sweet,undiagnos,exot,chief,inform,rich,attract,topless,date,equal,sublimin,gigolo,wise,quick,lower,gloriou,such,gori,tradit,enough,cheesi,girli,ruthless,minor,black,eric,singl,atroci,grai,regiment,disturb,tragic,effect,strang,blond,former,broadwai,explos,usual,suzann
,cool,freud,unborn,imagin,bruce,oldi,live,true,dramat,defici,shipfight,main,harsh,maguir,nake,major,cultur,teen,super,due,usual,import,brutish,vet,preachi,mousei,past,teenag,sorri,fellow,abrupt,republican,usual,main,edouard,decent,scari,gentl,warm,genocid,innat,salli,common,derang,finest,exorbit,fast,lead,modern,golden,thinner,entir,aliv,soapi,frustrat,billi,avail,previou,breathtak,pretenti
,fabul,realist,mad,panach,engag,vichi,breathtak,abl,effect,hollywood,excit,arrend,innoc,sorri,minor,rosario,rid,modern,mad,gener,patsi,unabl,clean,mighti,thick,possibl,hollywood,histor,wendi,elephantin,subtl,physic,profession,hot,convinc,tame,eddi,rid,bancroft,bore,ingeni,recent,natur,meaning,popular,civil,explanatori,spin,outstand,flawless,domest,barbar,incred,blank,disturb,red,imposs,overal,charli,accur
,stepsist,bete,social,unexpect,wyatt,maxwel,spooki,intens,paul,dirti,low,huge,titan,voluptu,nosferatu,fine,campi,psycholog,low,proper,dirti,abysm,bueno,samuel,bizarr,beacaus,comic,graciou,ingeni,anim,spectacular,skeptic,gerri,uninform,short,unfunni,crazi,aliv,stubborn,mega,camil,weak,fellow,decent,avail,difficult,richard,polit,weak,power,perreni,jason,averag,dopei,rural,quick,teenag,dirti,sultri,tire
,campbel,younger,scari,rash,satisfi,huge,afraid,dark,convent,odd,oh,hollywood,predict,fellow,juliann,dark,hight,open,brief,suspici,perplex,sinist,accur,comeplet,spiritu,thier,valuabl,cheesi,humor,romant,ladyhawk,french,campi,silli,berth,abl,small,clear,obviou,machu,ragin,dull,angri,signific,hilari,mechan,educ,gai,comfort,horribl,quiver,pointless,lucki,dummi,quiet,due,magic,foster,yr,charli
,improp,barbarella,cthulhu,robust,theatric,offici,scroog,pure,deadli,warp,impish,strang,extra,necessari,busi,power,martial,campi,talent,top,second,main,margret,fairi,erot,past,unknown,chief,neat,sexual,proper,natur,provok,right,chronic,golden,easi,low,quintisenti,nuevament,groovi,penelop,capabl,present,militari,noir,typic,heartless,scriptur,primit,drifter,music,miser,accur,lovabl,dazzl,audrei,senior,smart,utter
,bore,super,stellar,flat,costum,walt,alpha,shootist,virgin,easi,stanlei,averag,late,possibl,cheadl,averag,moral,roubaud,profession,absurd,kate,beastli,wallac,atom,discern,gai,sick,insan,pirat,nostalg,dedic,gai,clair,local,black,last,jeanett,traci,niven,tough,famou,underr,tommi,sheer,friendli,seriou,dull,signific,artist,imagrai,cecil,buggi,horribl,sexual,plausibl,readi,certain,slow,evil,strang
,overwhelm,mechthild,sure,seattl,late,terrif,finest,scariest,previou,sunni,black,sad,captiv,small,allur,joad,oliveira,strang,bore,glow,mckaskel,slant,georg,basing,billi,final,jane,militari,famou,gai,absolut,satan,lower,depress,magnific,southern,next,rich,elvi,intrigu,b,odd,theatric,affect,fellow,power,bigger,green,tremend,raini,biggest,import,remix,thin,privat,late,uniqu,lead,video,act
,iron,fascin,uneasi,graini,jimmi,rigor,fabul,mantid,harsh,afraid,top,nba,enthral,intellectu,doubl,elitist,clinton,stupidest,graphic,lacklust,sensat,complet,poignant,spoilt,local,sleazebal,b,wors,kung,fascin,disturb,subject,popular,unnecessari,western,weird,meadevilworld,prehistor,wet,roubard,gerri,inspir,tough,creativ,soviet,light,late,unholi,richard,nonsens,hollywood,comb,candic,lauri,power,imposs,dirti,tragic,crazi,immens
,talent,plausibl,england,proud,doubl,copecet,main,wont,cool,silli,arch,oh,past,beauti,robert,godli,omin,infam,power,cinemat,violent,bitchi,choppi,motiv,clear,late,polit,unbeliev,cruel,femm,current,shock,sharp,inaccur,legal,twist,disturb,strang,anthoni,carnal,offbeat,pointless,central,singl,passion,sieg,likeabl,blue,overal,lacklust,vinc,obscur,underr,prime,comic,import,awesom,richard,outstand,free
,silli,wick,wider,jealou,video,sindel,mash,solid,psycholog,greatest,convinc,human,solid,monti,particular,plausibl,cool,ethel,ancient,easi,husbandli,possibl,enough,seedi,necessari,zipper,delet,music,frank,easi,natur,sad,idiosyncrat,diabol,charm,deep,alec,sexi,endear,repuls,pseudolu,fake,physic,terrif,northern,guilti,expens,earli,flawless,myopic,import,regular,spectacular,teenag,pseudo,compel,sensual,music,upbeat,stupidest
,intimid,former,dian,dirti,intact,arcad,tremend,shock,sweet,fascin,glum,absolut,kei,junior,decent,possibl,dead,idiot,bizarr,thin,choreograph,finest,main,overal,twin,tribal,menac,islam,least,entir,correct,obsess,short,similar,terrif,typic,brown,tediou,scari,tengo,accur,outstand,greatest,similar,billi,ador,heavi,sheer,anim,intellig,entir,beauti,crisp,dull,intellig,gall,compel,absent,fanci,inspir
,bett,fat,inevit,toughest,rupert,showtim,closest,martial,excit,thin,rare,convinc,dark,lesli,emaci,decent,such,tommi,heavi,horrend,wayn,dull,argentina,fbi,mari,slightest,fast,charli,constant,phenomen,music,tire,believ,heartfelt,gloomi,canadian,bloodi,least,everydai,cheat,untiqu,moto,comic,legitim,artist,white,terrif,singl,independ,plain,powerfulli,wors,rare,previou,sensori,slight,absolut,rug,obscur,past
,audrei,romant,tire,teenag,delight,comic,useless,ski,hot,milktoast,wise,rockn,obviou,juxtapos,lawrenc,act,local,brainer,stun,third,vallian,pax,talent,free,deep,beauti,sundanc,red,edward,funniest,lovecraft,morbid,moulder,nobl,straightforward,black,laurenc,past,slimi,picchu,modern,sad,sincer,misguid,menac,east,pointless,telekinet,complex,dark,mommi,dead,awar,superflu,sexual,thin,mid,robert,frustrat,numer
,adult,hard,theatric,complet,contemporari,okai,toni,entir,believ,illeg,mischiev,disinterest,cool,green,legendari,incred,psycholog,flat,color,anti,glower,second,riski,hollywood,stanlei,charl,inspir,vinc,hannah,jeffrei,remark,freddi,shorter,extraodinari,sad,brief,possibl,miss,horribl,inspir,extraterrestri,samuel,insan,deadli,overal,reminisc,artist,mega,prime,inspir,seriou,appar,hollywood,power,total,comic,tragic,dumb,ugli,pain
,classi,accur,cinemat,usual,primari,wild,paul,termit,robert,larg,blizzard,hoop,sensat,sloppi,whiol,due,sinis,french,intern,memor,intens,indian,chill,wise,tough,redeem,common,worthwhil,separ,past,profound,ingrain,averag,landmark,local,tough,rid,prior,levinson,cantant,clever,richard,histor,safe,shadowi,civilian,histor,certain,extra,compelt,correspond,sidnei,readi,uneven,harder,carrol,deaf,stern,basic,indestruct
,superb,countless,eeri,aw,johnni,pungent,mass,enjoy,shock,nonoffens,okai,fake,jami,afraid,tire,cyanid,fair,garland,ridicul,marri,further,civil,acoust,davi,southern,spinal,chief,bogu,brilliant,kristi,feminist,afraid,raini,unstabl,unbeliev,surpris,effect,stellar,theresa,memor,stupid,extrem,latest,smart,mad,jacqu,confus,sexi,emot,anim,silverio,superb,strang,dwnld,notabl,skimboard,sad,unfortun,fresh,redund
,straight,emot,green,dark,intellig,whole,pure,main,constant,twist,possibl,unti,horribl,mallici,rare,ninja,ridicul,fran,crazi,explicit,dead,overpr,hot,nation,south,classic,nearbi,genuin,shakespear,former,gari,fellow,warm,wholesal,influenti,darkli,crate,wild,pregnant,hot,worn,comed,wealthi,ultra,formal,scholarli,anti,artsi,seriou,visual,capoeira,stupidest,stricken,easi,final,frank,golden,dull,pontoffel,suge
,pleas,remot,underli,rivet,needless,pethet,appropri,atroci,blue,innoc,pagina,entertain,lean,music,candac,exact,singl,esquim,paul,older,stellar,fawlti,rebelli,possibl,fellow,carl,genuin,forgett,henri,pallid,creepi,long,uncomfort,delic,happier,cool,cruel,typic,racial,downspout,sweet,incred,awar,accur,creepi,romant,smart,basic,endear,oldest,jame,frustrat,sensat,intens,scott,overal,tortur,todd,blatant,regular
,past,petit,warm,half,charad,typic,raini,obsolet,wide,ordinari,pure,past,master,younger,smaller,suitabl,french,starski,smart,shallow,nomad,litl,anthoni,delight,dumb,spiffi,crisp,casei,funniest,wild,valuabl,lumin,cute,former,tens,archiv,talent,recent,lone,late,sad,amus,open,nerdi,intrigu,dumb,compet,hollywood,finest,unflatt,amiss,wide,opposit,predict,quick,altough,talent,cool,extra,sequal
,readi,secret,laurenc,tire,white,obviou,third,altern,avail,late,next,charm,avail,melvil,psycholog,mere,bitrat,classic,blue,cheat,final,sweet,diminut,doubl,visual,s,disturb,open,denni,lousi,short,steril,surpris,precoci,top,eastern,neat,aw,brave,stalwart,video,sonni,typic,sophist,natur,comic,overt,clear,stellar,milit,fabul,origin,tough,lesser,mellow,incred,gai,anamorph,slow,decent
,low,underplai,meryl,sure,deep,egregi,aw,mike,unusu,familiar,paulin,dead,gener,stun,softer,youtub,typic,urban,dead,graini,abrupt,sensation,less,lame,exact,close,sharp,fake,charlott,fals,clean,closest,grim,commerci,low,regiment,dell,lucki,avalon,deeper,joy,abl,outsid,cann,uniqu,khrushchev,extend,avail,raquel,south,final,ex,pete,silli,grate,timedimension,univers,infest,pauli,ultim
,tragic,gover,absolut,spark,lovecraft,brutal,major,happier,less,legal,marit,alias,brown,technic,brilliant,local,longest,ill,golden,redund,slow,roubaud,close,amd,humor,major,hot,salli,rotten,basic,desir,larger,meryl,darlen,angri,seriou,free,avail,michael,prime,regular,dissapoint,japanes,italian,ferri,impend,actual,ugli,low,polit,warm,grand,third,funniest,inform,johnni,brown,clear,numer,formula
,mari,myrtl,public,mami,delet,green,halari,jaw,intern,pain,joei,rufu,gorgeou,prefigur,hedonist,vigor,extra,seriou,grand,uncomfort,possibl,microbiochem,affluent,obviou,intellig,cleaver,appropri,disguis,incred,live,freaki,miser,subtl,younger,charl,despar,lame,speedi,penelop,inconsist,english,light,light,entertain,emot,shock,green,naiv,teen,appropri,sweet,vinc,repres,final,blue,wonderland,fair,moreau,decent,eastwood
,tommi,scari,fort,exact,ambiti,chief,recent,commerci,technic,present,uniqu,american,rough,shonki,fine,greatest,grigori,mond,hot,loos,hot,mccabe,popular,outstand,giant,date,correct,foreign,cheesi,light,visual,overwhelm,readi,moral,aw,wise,stellar,lonesom,black,havr,brown,surpress,wide,fresh,delight,picturesqu,disturb,foul,deeper,uniqu,deep,lucki,constant,common,extra,final,similar,aliv,potti,unabl
,ardent,offens,juli,light,freddi,western,photograph,sara,finest,physic,hypnot,talent,weak,stellar,cruel,johnni,clear,rilei,unlik,tough,ultimt,laden,sound,promin,quick,firmer,french,assist,jame,person,charm,top,sorri,routin,gruesom,obnoxi,muscular,zani,evil,geraldin,quick,charm,billi,afraid,lighter,improb,halari,low,nostalg,sakamoto,raini,hasti,vintag,modern,warm,fine,tommi,secret,color,nicol
,countless,penniless,hardi,visual,bore,abl,cosel,hollywood,unexpect,smart,consist,development,white,iron,adult,depress,b,stupid,complex,histor,import,grand,comic,lucki,unresolv,misfortun,acid,lame,sweetest,dynam,famou,unimagin,unpredict,minimum,rude,monument,leonard,white,rebel,rough,rudd,english,weird,realist,weak,steam,pathet,super,numer,usual,creme,stellar,specif,cheesi,rourk,silly,less,similar,relig,tedious
,asham,locomot,lightheart,major,cinemat,smart,current,recomend,awesom,desper,loud,gore,next,longer,cage,fumbl,eccentr,meilleur,decent,english,pilgrim,modu,bitter,unabl,hot,okai,highest,strong,biggest,disconsol,numer,fat,gener,rehears,visual,routin,jurass,greatest,realist,angri,singl,mortal,overal,homosexu,brutal,sc,convolut,femal,contemporari,vulgar,bore,cockroach,infam,sweet,teen,nostalg,desper,human,angri,desper
,surpris,pro,horrifi,mug,disnei,abysm,teriff,exact,decent,intens,surreal,gerri,monti,rimbaud,erot,strang,cari,lame,legendari,comic,main,wors,exquisit,celebr,tradit,previou,joel,silli,tear,danger,enough,inconclus,human,accur,lori,lacklust,touch,flat,educ,dumb,priceless,decent,effect,ex,whitmor,human,catherin,manic,strike,digit,brazilian,christma,favourit,standard,clear,dont,convinc,postwar,advanc,fascin
,david,migrant,short,surpris,christma,spineless,french,voorhe,ultim,southern,incred,fatal,singl,quiet,lush,sad,outstand,ais,clever,sensit,beauti,characterist,shock,montreal,newest,light,paul,solid,avail,offens,final,gream,consciou,spin,awkward,rare,orphan,brilliant,unobstrus,older,wide,cannib,realist,paul,kali,spooki,earli,machinegun,polit,aw,ding,slow,super,variou,cold,seriou,aliv,weak,consciou,ricki
,hard,silli,adult,scarlet,aliv,nake,inner,sound,younger,wooden,dingl,middl,hamlet,hot,extens,middl,casablanca,hutch,cold,random,cavalri,ridicul,dark,uncut,nostalg,offens,lethal,tire,kelli,dark,evil,frighten,substanti,demean,gentl,unbeliev,jealou,creepi,louis,obnoxi,next,janean,phenomen,tire,fawcett,samuel,suffici,typic,doubl,chintzi,irat,suffici,public,polit,heavi,odd,minor,frank,fat,absurd
,underr,gai,rich,salli,recent,crockett,pompou,b,lone,kei,dry,veng,romant,hilari,rivet,dreamboat,horribl,insinu,basic,signific,alec,recent,local,sexi,wacki,breathtak,obviou,common,brutal,stilt,normal,ill,lead,buddhist,chic,ideolog,paparazzi,anchor,versitil,transplant,pink,irrit,close,easi,familiar,repel,middl,mutant,memor,top,fellow,preval,numer,tough,nonsens,top,juli,absolut,close,harmless
,underemploi,sappi,favourit,potent,boyish,worldwid,cute,lusti,poignant,safe,import,granvil,cold,delici,middl,unwatch,weird,loud,scari,latest,hardest,slight,sympathet,disturb,certain,super,finest,sick,sexi,cannib,familiar,preppi,moral,least,sorri,daunt,speechless,obviou,ringwald,epitaph,mcdonnel,mythic,appropri,particular,gerard,major,dismal,complet,cari,archaic,toni,chri,expens,sexi,witti,unwatch,giant,bald,uncomfort,wors
,laurel,averag,sound,weird,billi,dissapoint,surreal,free,sympathet,wild,inconsist,steve,clear,hollywood,pointi,dominiqu,complimentari,aeuvr,urban,social,right,glower,privileg,awar,harri,less,nake,french,corei,constant,polit,deep,artist,undercut,tommi,depress,clear,franciscu,local,strong,s,biggest,fresh,intellig,move,pacif,futur,underwat,support,reminisc,conchita,johnni,forgett,pure,import,basic,normal,fair,corni,loud
,michel,nude,past,frighten,similar,anai,endang,scroog,complet,ridicul,lightheart,next,rikki,complic,toung,teeni,clu,david,gorgeou,middl,incred,humain,master,jacki,due,least,cinemat,signific,certain,unpreced,possibl,casual,move,outstand,green,crimin,fresh,enough,marri,penniless,mentor,freakin,respect,kei,dual,british,predict,heavi,honest,erri,preval,sweet,act,denis,intermedi,open,enough,tongu,farr,open
,choral,usual,artsi,feebl,shoddi,content,gregori,speedi,proper,davi,sunni,unreciproc,memor,greatest,paul,top,kiddi,cett,silent,horrid,noah,accur,supernatur,tire,dave,gross,tradit,bete,subtl,usual,hollywood,hottest,literari,sleazi,famou,wynyard,tough,abl,bowi,speedi,zane,justifi,hot,nasti,psychot,gabi,superb,amityvil,blind,commis,boomerang,defect,loud,defici,angri,strong,bright,excit,loveabl,dull
,unforget,cadin,narrow,innoc,tough,clouseau,snob,nake,accur,crappi,solid,decent,hidden,depress,thoma,portabl,last,enfonc,sexi,larg,hawkish,bete,stabl,fat,clifford,comed,uncut,sharp,moral,virgin,toni,rental,earli,terrif,older,power,visual,disturb,abr,greasi,demi,dumbest,extra,repetit,sympathet,accur,raunchi,silli,belov,inner,worthwhil,newest,proper,public,artist,tall,comfort,crazi,urban,disturb
,quirki,gothel,marvel,easi,believ,faux,difficult,lame,georg,live,transcend,late,kate,fiction,hilar,pimpl,mellvil,funniest,secret,utter,outstand,milan,instant,walt,famou,terrif,fit,soviet,low,deep,hook,kimberli,dramat,addit,odd,late,intellig,overal,pleas,mediocr,mellow,damn,pleasant,histor,complet,sadist,suspens,third,stereo,unforgett,mere,sober,lloyd,opposit,challeng,straight,familiar,jurass,watchabl,hot
,macdonald,egregi,multipl,foreign,actual,wretch,gener,usual,grand,fair,zhivago,liveri,inspir,secret,depress,stellar,individu,young,normal,spectacular,top,minim,strong,clear,amus,useless,proud,charl,fascin,intrigu,amus,isra,close,total,sever,cheap,engag,thrill,outstand,lust,dramit,dark,leonard,sadist,tortur,spellbind,reluct,jason,altern,overal,purist,tough,further,wors,financi,artist,thin,climact,naughti,next
,huge,top,master,color,sad,live,michael,spooki,success,stereotyp,third,remarri,magic,sexi,flashi,gai,loud,avail,disnei,amateurish,similar,underli,tire,modern,splendid,readi,daniel,beau,simpler,unfunni,due,disinterest,multipl,cute,mysteri,incred,cove,incred,aural,modern,finest,middl,danger,mike,bigger,clear,weak,physic,e,dread,wide,formula,ralph,bright,particular,spars,billi,honest,profession,lucki
,torrid,bawdier,altern,grusom,necessari,jame,babysit,power,nobl,outstand,peac,import,visibl,texa,famou,forgo,western,typic,fake,extend,quick,miguel,educ,ultra,ultim,onli,aliv,domest,watchabl,music,similar,pure,silli,bohem,bold,convinc,cynic,romanworld,everlast,worthi,sweati,hokei,gener,larg,fewer,tire,older,teenag,solid,jane,top,longstreet,strike,s,predict,super,common,juliann,next,challeng
,grip,suitabl,josephin,quot,lead,doubl,familiar,laughabl,cultur,avail,b,noir,secret,decent,rich,lawrenc,fake,possibl,wors,bland,minut,offbeat,mid,threateningli,mid,imposs,drunk,sacrafic,dirti,shock,confus,brief,prime,move,cool,clyde,contagi,local,rich,averag,likeabl,flat,psycholog,famou,arnold,giant,neil,mysteri,quirki,sinist,high,cruel,biggest,miser,minor,hauer,controversi,lucr,sentiment,gore
,flannel,robert,massiv,defect,smart,nameless,enough,common,cheap,neg,verdad,bottom,sound,cruel,edward,intern,enough,entertain,deep,rich,intact,dumbass,marc,david,late,superb,corrupt,grip,mega,mute,lame,christma,past,retent,inner,success,sad,prime,complex,fine,rocki,tommi,italian,hyper,likeabl,black,surrealist,fascin,male,close,horribl,autist,obviou,mike,hollywood,biggest,grand,atlant,iron,inner
,insir,black,busi,import,memor,wonderland,carolin,creami,nation,blue,quot,usual,emot,terrif,difficult,pointless,allgood,tire,wise,privat,micheal,enfant,wick,honest,absolut,offici,loos,depress,quot,idyl,english,disnei,outer,uncomfort,camil,cinemat,edward,cuban,dearli,mad,robert,teenag,honest,complet,bore,mole,paranorm,quick,creativ,disturb,low,fay,abstract,irish,childish,dread,spectacular,uninhibit,guilti,crazi
,enthusiast,fresh,typic,onlin,close,duchovoni,foreign,right,huge,angri,surli,britnei,strang,late,sexi,david,georg,jame,endless,accur,hopkin,aw,second,bore,super,waterg,jerri,extinct,renn,suffici,move,unfortun,main,dread,routin,greatest,mighti,silli,charbonneau,stupid,confus,gothic,bigger,wild,marc,corpor,clever,bottom,accur,cold,gold,pure,critic,white,psychic,sweet,teen,violent,formal,urban
,refin,impromptu,simpl,sweet,obviou,bitch,depress,straightforward,communist,jane,athlet,weak,isabel,nation,hyster,british,greatest,cheap,mental,lame,african,maurei,live,lead,profound,recent,lead,nake,nostalg,ridlei,stupid,angri,intellectu,blueberri,alcohol,unreward,ugli,depress,major,jami,graphic,exact,brief,homogen,ralph,complet,pretenti,semi,bitter,farcic,michael,prime,cheap,lunat,adult,exact,close,lone,tupac,blue
,royal,shirlei,slow,shock,non,fals,multipl,britnei,scari,junk,enough,haughti,silver,aw,individu,flawless,entertain,im,fantast,hollywood,anthoni,individu,brisk,cold,handsom,toni,veteran,south,worthwhil,spooki,lesser,enough,georg,live,unlaw,conserv,thankfulli,blue,recent,otaku,katherin,ecur,likabl,latter,british,mind,juli,modern,stun,superb,fred,low,nonsens,ventriloquist,uniqu,tough,averag,surreal,ridicul,godaw
,snappi,regular,import,wors,older,less,pothol,thug,brave,histor,jolt,stoppabl,wartim,creepi,origion,fright,magnific,l,amus,cruel,complet,bagdad,success,ridicul,greedi,foreign,anthoni,greatest,actual,explicit,moral,appar,imagin,aw,cinemat,crude,abbi,flic,cautionari,exel,countless,s,wors,ludicr,lenni,worthi,nebul,small,local,jill,cari,blind,witti,elitist,shorter,usual,brief,petti,genuin,abl
,brigett,furiou,easier,open,closest,remad,stargat,suprem,terrif,crockett,complic,bizarro,cinematographi,major,stargat,beacaus,rocki,crag,multipl,loud,gimmi,formid,logic,uneven,final,crockett,bottom,extra,andr,singl,video,radioact,individu,vertic,vampir,legendari,gregori,welcom,craziest,zeitgeist,evil,brawl,delight,awar,endless,afraid,comic,unusu,current,ruineou,potboil,horrif,polit,abl,routin,ultim,particular,absurd,cinemat,mere
,spike,svemu,jerri,due,magnific,cinemat,intercontinent,convinc,sensit,privat,estaq,clear,video,usual,needless,gore,third,such,right,influenti,gari,shane,pat,bloodi,convinc,reed,mid,avail,s,aliv,fat,unlucki,unexpecetd,stiff,suspens,emil,hot,stir,creativ,honei,strang,fine,notabl,sorri,jeremi,superb,sorri,harold,wild,redund,agon,harold,charismat,hilari,due,patsi,surreal,sympathet,superb,bogu
,slow,reluct,otherworldli,bloodi,strang,reilli,nicola,robert,worthwhil,raw,betray,swift,neil,evil,lucki,snore,parri,traumat,accur,scari,funniest,benefici,dens,excit,melodi,orphan,contriv,mistaken,anti,daze,intrigu,compuls,uplift,recogniz,infecti,milennium,unpleas,unfortun,untyp,shawn,provok,horrif,harold,rel,unknown,older,militari,stylist,dark,etern,indemn,daniel,michael,major,actual,cinemat,gener,fatal,sick,teenag
,coyl,letharg,foreign,desper,horribl,noir,honest,polar,master,deadli,usual,unstabl,michael,marvel,recent,blackpool,elwood,sick,longtim,singl,capabl,abomin,nymphomaniac,exquisit,f,wonder,sad,s,effect,sexi,quirki,borderlin,music,campi,kati,powel,martial,sad,total,abr,dumb,bottom,deeper,omnipres,intellectu,exquisit,honest,tattoo,matur,unconvinc,manipul,rosewood,black,social,touch,martial,complex,jame,desper,breillat
,scifi,sensibl,lovecraft,wonderland,remast,cantones,gen,titan,capabl,brutal,bore,unmatch,confus,foreign,visual,clich,hollywood,profession,disturb,video,ambigu,unsuspect,simpl,greatest,previou,forrest,tremend,stupid,hollywood,pathet,outrag,trish,asham,third,credibl,honest,childish,uneth,worthi,incap,hammond,gabi,sentiment,brutal,timeless,chief,pleasant,complic,spectacular,entertain,jule,total,astonish,brown,pointless,solid,mike,avail,power,karat
,full,verid,gorgeou,dramat,cheap,notori,terrif,younger,rare,surpris,modern,stimul,odd,twist,main,underground,cheap,fatalist,prime,quick,rude,rightiou,magic,stupid,usual,tire,ronald,inspir,harriet,jame,frank,steven,major,blackwood,franc,present,lori,ash,shy,ultim,middl,biograph,passion,separ,inspir,convinv,mega,comic,fabul,mid,pleas,mobil,speed,present,music,bloodi,neat,bentlei,light,familiar
,petit,irrat,top,paint,jeffrei,oti,smart,extinct,magic,readi,surpris,cold,simplist,sad,third,afraid,dafo,par,biggest,fast,special,bore,gener,jewish,kate,weird,ridicul,mow,offens,hyster,mad,narcot,lemon,swear,powel,miss,belov,male,singl,colbert,sorri,british,slow,countless,flawless,bravest,gross,milki,possibl,absolut,tricki,clanei,remark,disturb,fine,artsi,bleak,abl,okai,dens
,fullest,unwil,surpris,ginni,unfair,theatric,common,brawl,late,intellig,major,sexiest,easi,complex,gorgeous,cheadl,clint,local,georg,british,shanghai,hard,rich,offens,transcendent,anim,edward,indulg,dramat,disturb,underr,huge,phantom,choregraph,southern,scari,outrag,violent,uptight,unabl,stargat,clever,robert,closer,major,rufu,paul,rave,privat,grand,lawer,british,unknown,beauti,scare,nake,slow,ill,sore,ambros
,talki,astor,younger,kitschi,newer,british,quirki,incred,desper,complex,facial,scoobi,individu,incred,equal,main,capel,speedi,japanes,medic,dull,glow,hectic,privat,date,common,play,incap,smart,worthwhil,standard,similar,reckeless,tragic,divers,artist,audio,gross,certain,similar,campi,similar,avail,wooden,grate,innoc,refresh,fartsi,bare,social,golden,unsolv,carl,inform,graphic,bottom,color,social,holi,ruthless
,favourit,tough,inspir,handsom,light,anti,pothead,music,higher,gigant,scoobi,singl,bore,abl,telepath,comid,music,essai,loud,asham,gentleman,horrif,possibl,fest,howard,graphic,palpabl,unlik,usual,fiction,intellig,blur,pleasant,friendli,weird,enough,orphanag,kindli,mute,bowi,schmalz,creativ,iron,theatric,david,moodi,video,groundbreak,blue,malibu,classicx,okai,profession,fresh,nake,cuba,erot,visual,recent,difficult
,wide,valle,certain,soft,iffi,outer,entertain,mst,initi,constant,absolut,sexual,success,intellig,coolest,fat,michael,papel,violent,past,visual,certain,dramat,local,snappi,gore,middl,todd,psychiatr,sentanc,tragic,uninterest,commerci,phil,samuel,credibl,robert,anim,previou,silli,heavi,takua,mid,east,intens,interven,bottom,depress,import,music,rich,variou,remot,visual,southern,possibl,weird,innoc,unawar,creepi
,unstylish,colbert,e,main,romant,cute,mediocr,person,anti,absurd,noir,wors,local,robert,small,dry,unforeseen,cool,futurist,absolut,holi,andrei,nation,loos,major,fals,effect,d,dull,disgust,bare,music,tough,earli,andr,famou,holt,monti,uniqu,excentr,plain,modern,unexpect,secret,rare,brutal,variou,histor,delic,local,fine,horrid,ncaa,valuabl,accur,leroi,english,upper,experienc,obnoxi
,overal,kaleil,unsurpasss,england,green,jami,itchi,narcissist,inspir,lone,strong,sheer,militari,final,earli,amateur,aw,former,raw,previou,andrei,foolish,sappi,brad,clever,davi,ingeni,underground,whisper,irritatingli,honest,clever,fals,youuuuuu,wham,current,suitabl,such,fine,corrupt,goodheart,mcdonnel,grate,gritti,harri,strong,british,lone,addit,past,robert,goopi,english,beat,honest,drown,marri,unaccept,green,david
,mysteri,right,gilbert,poetic,burt,incred,small,fade,extra,wide,glitchet,youtub,fifth,overal,alien,paul,fresh,aunqu,odd,femal,gabriel,scari,sad,incoher,steve,ditzi,violent,pornograph,patinkin,green,signific,autist,incompet,dynam,cute,surovoi,warm,similar,ford,everlast,ticklish,mediocr,larg,desper,torment,horribl,artsi,mcdeer,underr,incredibl,total,weslei,riddl,nation,kentucki,overplai,cute,hollywood,serial,polit
,hana,sexual,skeptic,particular,overfund,sloppi,surpris,lacklust,marvel,particular,dramat,silli,ultim,bibl,larger,tart,charm,top,realist,genuin,modern,pilgrim,tragic,cheech,chines,social,darkest,passabl,suspens,fresh,shock,fanat,concis,hollywood,open,unpredict,psychot,angri,influenti,easi,twin,deschanel,south,normal,strike,edward,liber,victori,human,careerist,lead,short,rage,rare,moralist,pseudo,bore,leonard,strang,derang
,overs,stupid,kirsti,conformist,wide,sherilyn,cumbersom,alittl,creativ,visual,angri,angri,effect,critic,wild,small,demur,red,doubl,david,jorg,nomad,typic,cagnei,fortun,live,mari,shock,simpl,neat,certain,warp,complic,creativ,histor,prone,inspir,smart,unwil,jurass,freakin,humbl,total,sweet,modern,live,ammus,melodramat,appropri,frank,botch,privat,sydnei,charli,educ,scare,readi,wackier,creepi,extraordinari
,leland,possibl,crazi,psycholog,blue,gori,teenag,male,depress,horrif,mount,watchabl,deep,strang,slow,offbeat,bloodi,ruthless,alec,compel,stir,strang,prodig,scari,brisk,brisk,dramat,corrupt,shere,fine,fanat,devil,unhelp,s,decent,tens,quirki,hook,photograph,fascin,hyster,innat,accur,prematur,dramat,crazi,famou,fals,readi,deceas,cora,sneaki,adult,amateur,pleas,profession,psycholog,darkli,financi,judd
