,S0,S1
,0.22340425531914898,0.7765957446808511
,0.9634760705289672,0.03652392947103275
,0.9548872180451128,0.04511278195488722
,0.5520833333333334,0.4479166666666667
,0.8705882352941178,0.12941176470588237
,0.9659090909090909,0.034090909090909095
,0.9372134038800706,0.06278659611992946
,0.9667493796526055,0.03325062034739454
,0.4957983193277311,0.5042016806722689
,0.941354903943377,0.05864509605662285
,0.9541832669322708,0.045816733067729085
,0.9796640141467727,0.020335985853227233
,0.9610570236439498,0.03894297635605007
,0.9203821656050956,0.07961783439490445
,0.8817635270541082,0.11823647294589179
,0.92,0.08
,0.7716535433070866,0.22834645669291337
,0.9589905362776024,0.04100946372239747
,0.8095238095238096,0.1904761904761905
,0.6379821958456973,0.3620178041543026
,0.6418918918918919,0.3581081081081081
,0.9703622392974751,0.029637760702524697
,0.952,0.048
,0.5178571428571429,0.48214285714285715
,0.8779527559055118,0.12204724409448818
,0.9198830409356725,0.08011695906432749
,0.9301978350130645,0.06980216498693542
,0.9655521783181358,0.034447821681864235
,0.5089285714285714,0.49107142857142855
,0.9392624728850325,0.060737527114967466
,0.9490196078431371,0.050980392156862744
,0.9811996418979408,0.01880035810205909
,0.4285714285714285,0.5714285714285714
,0.9587878787878789,0.041212121212121214
,0.9549019607843137,0.045098039215686274
,0.9703504043126685,0.029649595687331536
,0.9088145896656535,0.09118541033434652
,0.9107883817427387,0.08921161825726141
,0.9087719298245615,0.0912280701754386
,0.7650200267022698,0.2349799732977303
,0.9655172413793103,0.03448275862068965
,0.7313915857605179,0.26860841423948223
,0.6293929712460063,0.3706070287539936
,0.648951048951049,0.35104895104895106
,0.9714285714285714,0.028571428571428574
,0.9418837675350701,0.05811623246492986
,0.9393305439330544,0.06066945606694561
,0.8666666666666667,0.13333333333333333
,0.9191049913941479,0.08089500860585198
,0.9127272727272728,0.08727272727272728
,0.08214285714285716,0.917857142857143
,0.9468599033816425,0.05314009661835748
,0.9169960474308302,0.08300395256916998
,0.9533898305084745,0.04661016949152542
,0.9152542372881357,0.08474576271186442
,0.5196850393700787,0.48031496062992124
,0.905109489051095,0.09489051094890512
,0.6384364820846906,0.3615635179153095
,0.9479166666666665,0.052083333333333336
,0.7435897435897436,0.25641025641025644
,0.9485981308411213,0.0514018691588785
,0.967551622418879,0.032448377581120944
